,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
tp,3615.0,2767.0,6492.0,3269.0,1454.0,901.0,118.0,2665.0,714.0,541.0,349.0,0
fp,502.0,5.0,1647.0,324.0,263.0,9.0,6.0,9.0,102.0,24.0,3.0,0
fn,252.0,294.0,366.0,525.0,489.0,29.0,406.0,1.0,233.0,52.0,225.0,22
precision,0.878066553315521,0.9981962481962482,0.7976409878363435,0.9098246590592819,0.8468258590564939,0.9901098901098901,0.9516129032258065,0.9966342557965595,0.875,0.9575221238938053,0.9914772727272727,0
recall,0.934833204034135,0.903952956550147,0.9466316710411199,0.8616236162361623,0.748327328872877,0.9688172043010753,0.22519083969465647,0.9996249062265566,0.7539598732840549,0.9123102866779089,0.60801393728223,0
f1s,0.9055611222444889,0.9487399279958854,0.8657731546309261,0.8850683633410045,0.7945355191256831,0.9793478260869567,0.3641975308641975,0.9981273408239703,0.8099829835507657,0.9343696027633851,0.7537796976241901,0
