,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
tp,3483.0,3030.0,5867.0,2930.0,1524.0,742.0,340.0,2144.0,702.0,340.0,274.0,0
fp,440.0,565.0,546.0,319.0,414.0,4.0,40.0,85.0,76.0,3.0,42.0,0
fn,86.0,24.0,1080.0,495.0,481.0,3.0,67.0,0.0,173.0,97.0,18.0,10
precision,0.887840938057609,0.8428372739916551,0.9148604397317948,0.90181594336719,0.7863777089783281,0.9946380697050938,0.8947368421052632,0.961866307761328,0.9023136246786633,0.9912536443148688,0.8670886075949367,0
recall,0.9759036144578314,0.9921414538310412,0.8445372103066072,0.8554744525547445,0.7600997506234414,0.9959731543624161,0.8353808353808354,1.0,0.8022857142857143,0.7780320366132724,0.9383561643835616,0
f1s,0.9297917778964229,0.911415250413596,0.8782934131736527,0.8780341624213366,0.7730154704539691,0.9953051643192488,0.8640406607369759,0.9805625428767437,0.8493647912885662,0.8717948717948718,0.9013157894736842,0
