,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
ADP,3483,13,180,93,42,1,45,0,43,3,18,2
DET,2,3030,283,70,164,0,0,0,12,31,0,3
NOUN,7,1,5867,257,185,0,2,0,37,53,0,4
VERB,3,0,218,2930,58,0,0,0,33,7,0,0
ADJ,0,0,299,62,1524,0,3,0,46,3,0,1
CONJ,1,0,0,1,2,742,0,0,0,0,0,0
PRT,39,0,0,0,0,0,340,0,1,0,0,0
.,1,0,67,10,7,0,0,2144,0,0,0,0
ADV,32,2,2,1,21,1,17,0,702,0,0,0
NUM,0,0,3,0,0,0,0,0,0,340,0,0
PRON,1,8,28,1,2,1,0,0,1,0,274,0
X,0,0,0,0,0,0,0,0,0,0,0,0
