,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
ADP,3381,25,0,1,5,1,288,0,71,1,19,0
DET,0,2630,1,0,1,0,0,0,2,0,0,0
NOUN,165,399,6360,329,479,3,31,0,77,17,77,10
VERB,1,0,224,3003,35,0,0,0,20,1,0,0
ADJ,3,0,327,41,1436,0,3,0,86,1,0,0
CONJ,1,0,0,0,0,740,0,0,0,0,0,0
PRT,0,0,1,0,0,0,85,0,1,0,0,0
.,0,0,0,0,0,0,0,2144,0,0,0,0
ADV,18,0,22,51,47,1,0,0,617,0,0,0
NUM,0,0,12,0,2,0,0,0,1,417,0,0
PRON,0,0,0,0,0,0,0,0,0,0,196,0
X,0,0,0,0,0,0,0,0,0,0,0,0
