,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
tp,3381.0,2630.0,6360.0,3003.0,1436.0,740.0,85.0,2144.0,617.0,417.0,196.0,0
fp,411.0,4.0,1587.0,281.0,461.0,1.0,2.0,0.0,139.0,15.0,0.0,0
fn,188.0,424.0,587.0,422.0,569.0,5.0,322.0,0.0,258.0,20.0,96.0,10
precision,0.8916139240506329,0.9984813971146546,0.8003020007550019,0.9144336175395859,0.7569847127042699,0.9986504723346828,0.9770114942528736,1.0,0.8161375661375662,0.9652777777777778,1.0,0
recall,0.9473241804427011,0.8611656843483956,0.9155030948610912,0.8767883211678832,0.7162094763092269,0.9932885906040269,0.20884520884520885,1.0,0.7051428571428572,0.954233409610984,0.6712328767123288,0
f1s,0.9186251867952724,0.9247538677918427,0.8540351819524642,0.8952153823222536,0.7360328036904151,0.9959623149394347,0.3441295546558705,1.0,0.7565910484365421,0.9597238204833142,0.8032786885245903,0
