,VERB,.,DET,NOUN,ADP,ADJ,NUM,ADV,CONJ,PRT,PRON,X
tp,2804.0,2714.0,2762.0,6081.0,3356.0,1505.0,527.0,568.0,833.0,364.0,236.0,3.0
fp,227.0,46.0,557.0,541.0,443.0,260.0,0.0,83.0,7.0,26.0,31.0,9.0
fn,477.0,0.0,12.0,742.0,91.0,487.0,196.0,137.0,3.0,62.0,17.0,6.0
precision,0.9251072253381722,0.9833333333333333,0.8321783669780054,0.9183026276049532,0.8833903658857594,0.8526912181303116,1.0,0.8725038402457758,0.9916666666666667,0.9333333333333333,0.8838951310861424,0.25
recall,0.8546174946662602,1.0,0.9956741167988464,0.8912501832038693,0.9736002320858718,0.7555220883534136,0.7289073305670816,0.8056737588652483,0.9964114832535885,0.8544600938967136,0.932806324110672,0.3333333333333333
f1s,0.8884664131812422,0.9915966386554622,0.9066141473822419,0.9045741911491261,0.9263041678167264,0.8011711471919085,0.8432,0.8377581120943952,0.9940334128878282,0.892156862745098,0.9076923076923077,0.2857142857142857
