,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
ADP,3724,7,111,97,33,0,68,1,40,4,27,2
DET,9,3020,206,72,95,2,0,0,23,35,10,6
NOUN,7,2,6025,294,150,0,0,2,36,82,47,8
VERB,3,0,136,3250,40,0,0,0,39,2,12,2
ADJ,2,0,266,48,1581,0,3,0,39,27,0,4
CONJ,4,2,0,4,0,913,1,0,5,0,0,0
PRT,29,0,0,0,1,0,441,0,5,0,0,0
.,0,0,33,3,0,0,0,2646,3,0,1,0
ADV,55,8,0,0,37,0,3,0,755,0,0,0
NUM,0,0,8,0,0,0,0,0,0,442,0,0
PRON,9,6,13,3,0,2,0,0,0,0,476,0
X,0,0,1,0,0,0,0,0,0,0,0,0
