,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
tp,3724.0,3020.0,6025.0,3250.0,1581.0,913.0,441.0,2646.0,755.0,442.0,476.0,0
fp,390.0,458.0,628.0,234.0,389.0,16.0,35.0,40.0,103.0,8.0,33.0,1
fn,118.0,25.0,774.0,521.0,356.0,4.0,75.0,3.0,190.0,150.0,97.0,22
precision,0.9052017501215363,0.8683151236342725,0.9056064933112882,0.9328358208955224,0.8025380710659898,0.9827771797631862,0.9264705882352942,0.9851079672375279,0.87995337995338,0.9822222222222222,0.9351669941060904,0
recall,0.9692868297761582,0.9917898193760263,0.8861597293719665,0.8618403606470433,0.8162106350025813,0.9956379498364231,0.8546511627906976,0.9988674971687429,0.798941798941799,0.7466216216216216,0.8307155322862129,0
f1s,0.9361488185017597,0.9259543154990035,0.8957775795420755,0.8959338387319089,0.8093166112106476,0.9891657638136513,0.8891129032258064,0.9919400187441424,0.8374930671103716,0.8483685220729367,0.8798521256931608,0
