,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
tp,3145.0,2614.0,6970.0,3020.0,1456.0,940.0,428.0,3026.0,564.0,688.0,153.0,0
fp,115.0,2.0,1831.0,241.0,262.0,4.0,383.0,1.0,89.0,19.0,0.0,2
fn,613.0,356.0,351.0,523.0,674.0,16.0,48.0,0.0,181.0,69.0,108.0,10
precision,0.9647239263803681,0.9992354740061162,0.7919554596068629,0.926096289481754,0.8474970896391153,0.9957627118644068,0.5277435265104808,0.9996696399074991,0.8637059724349158,0.9731258840169731,1.0,0
recall,0.8368813198509846,0.8801346801346801,0.9520557300915176,0.8523849844764324,0.6835680751173709,0.9832635983263598,0.8991596638655462,1.0,0.7570469798657719,0.9088507265521797,0.5862068965517241,0
f1s,0.8962667426617271,0.9359112065878984,0.8646569904478353,0.8877131099353321,0.7567567567567568,0.9894736842105265,0.6651126651126651,0.9998347926647944,0.8068669527896997,0.9398907103825136,0.7391304347826086,0
