,ADP,DET,NOUN,VERB,ADJ,CONJ,PRT,.,ADV,NUM,PRON,X
ADP,3145,21,2,7,1,0,13,0,54,0,17,0
DET,0,2614,0,0,0,0,0,0,2,0,0,0
NOUN,192,334,6970,437,580,15,31,0,75,68,89,10
VERB,0,0,181,3020,33,0,0,0,26,1,0,0
ADJ,26,0,155,52,1456,0,4,0,23,0,2,0
CONJ,2,1,0,0,0,940,0,0,1,0,0,0
PRT,383,0,0,0,0,0,428,0,0,0,0,0
.,0,0,0,1,0,0,0,3026,0,0,0,0
ADV,10,0,8,19,51,1,0,0,564,0,0,0
NUM,0,0,3,7,9,0,0,0,0,688,0,0
PRON,0,0,0,0,0,0,0,0,0,0,153,0
X,0,0,2,0,0,0,0,0,0,0,0,0
